DataID,Name,ActualPrice,Price,Brand,isPremium,Rating,Tags,ProductID
321382,Máy lạnh Panasonic Inverter 1 HP CU/CS-PU9AKH-8,11690000.0,11690000.0,Panasonic,0,4.0,1 chiều chỉ làm lạnh,CU/CS-PU9AKH-8
322936,Máy lạnh Daikin Inverter 1 HP ATKB25YVMV,10990000.0,10990000.0,Daikin,0,4.0,1 chiều chỉ làm lạnh,ATKB25YVMV
320701,Máy lạnh LG Inverter 1 HP V10WIN1,10690000.0,9390000.0,LG,0,3.5,1 chiều chỉ làm lạnh,V10WIN1
320848,Máy lạnh AQUA Inverter 1 HP AQA-RV10QA2,9090000.0,8690000.0,Aqua,0,4.0,1 chiều chỉ làm lạnh,AQA-RV10QA2
302173,Máy lạnh Sharp Inverter 1 HP AH-X10ZEW,9690000.0,8990000.0,Sharp,0,4.0,1 chiều chỉ làm lạnh,AH-X10ZEW
303867,Máy lạnh Panasonic Inverter 1 HP CU/CS-XU9ZKH-8,13990000.0,13990000.0,Panasonic,0,4.0,1 chiều chỉ làm lạnh,CU/CS-XU9ZKH-8
322932,Máy lạnh Daikin Inverter 1 HP ATKF25YVMV,11590000.0,10990000.0,Daikin,0,3.0,1 chiều chỉ làm lạnh,ATKF25YVMV
303106,Máy lạnh Toshiba Inverter 1 HP RAS-H10Z1KCVG-V,10990000.0,10090000.0,Toshiba,0,4.0,1 chiều chỉ làm lạnh,RAS-H10Z1KCVG-V
321680,Máy lạnh Samsung Inverter 1 HP AR10DYHZAWKNSV,10690000.0,9390000.0,Samsung,0,3.5,1 chiều chỉ làm lạnh,AR10DYHZAWKNSV
272349,Máy lạnh Daikin Inverter 1 HP FTKY25WMVMV,13290000.0,12590000.0,Daikin,0,4.0,1 chiều chỉ làm lạnh,FTKY25WMVMV
321383,Máy lạnh Panasonic Inverter 1.5 HP CU/CS-PU12AKH-8,14290000.0,14290000.0,Panasonic,0,4.0,1 chiều chỉ làm lạnh,CU/CS-PU12AKH-8
303863,Máy lạnh Daikin Inverter 1 HP ATKF25XVMV,11590000.0,10990000.0,Daikin,0,4.0,1 chiều chỉ làm lạnh,ATKF25XVMV
320702,Máy lạnh LG Inverter 1.5 HP V13WIN1,12290000.0,10790000.0,LG,0,4.0,1 chiều chỉ làm lạnh,V13WIN1
302745,Máy lạnh Casper Inverter 1 HP TC-09IS35,7490000.0,6490000.0,Casper,0,4.0,1 chiều chỉ làm lạnh,TC-09IS35
299824,Máy lạnh Nagakawa Inverter 1 HP NIS-C09R2T28,8690000.0,4990000.0,Nagakawa,0,4.0,1 chiều chỉ làm lạnh,NIS-C09R2T28
272060,Máy lạnh Funiki Inverter 1 HP HIC09TMU.ST3,8790000.0,6490000.0,Funiki,0,4.0,1 chiều chỉ làm lạnh,HIC09TMU.ST3
